,sportsett_id,summary
0,4921,"The Philadelphia 76ers defeated the visiting Chicago Bulls, 127 - 108, at Wells Fargo Center on Thursday evening. Both teams came out strong in the first quarter but the Bulls held the advantage, leading 41 - 38, heading into the second. However, the Sixers bounced back in the second, where they outscored the Bulls, 27 - 17, to take a 65 - 58 lead heading into halftime. The Sixers came out in domination mode in the third and outscored the Bulls, 37 - 18, to take a 102 - 76 lead heading into the fourth. The Bulls put up a fight in the fourth but the 76ers were able to cruise to their first win of the season without a problem. Joel Embiid led the 76ers with 30 points on 9 - of - 14 shooting, in 33 minutes of action. Ben Simmons put up big numbers with 13 points, 13 rebounds, 11 assists, two blocks and one steal, in 34 minutes. Robert Covington finished with 20 points, five rebounds, two assists, two steals and a block, in 29 minutes. The Sixers shot 48 percent from the field, including 12 - of - 36 from long range. Meanwhile, Zach LaVine led the Bulls with 30 points on 11 - of - 20 shooting, six rebounds, three assists and one block, in 33 minutes of action. Bobby Portis followed up with 20 points, 10 rebounds, two assists and two steals, while Antonio Blakeney added 15 points, five rebounds and two assists. The Bulls shot 44 percent from the field, including 11 - of - 33 from long range. The Bulls (0 - 1) look to bounce back as they play host to the Pistons on Saturday. The Sixers (1 - 1) play host to the 76ers on Saturday."
1,4921,"The Philadelphia 76ers defeated the visiting Chicago Bulls, 127 - 108, at Wells Fargo Center on Thursday evening. Both teams came out strong in the first quarter but the Bulls held the advantage, leading 41 - 38, heading into the second. However, the Sixers bounced back in the second, where they outscored the Bulls, 27 - 17, to take a 65 - 58 lead heading into halftime. The Sixers came out in domination mode in the third and outscored the Bulls, 37 - 18, to take a 102 - 76 lead heading into the fourth. The Bulls put up a fight in the fourth but the 76ers were able to cruise to their first win of the season without a problem. Joel Embiid led the 76ers with 30 points on 9 - of - 14 shooting, in 33 minutes of action. Ben Simmons put up big numbers with 13 points, 13 rebounds, 11 assists, two blocks and one steal, in 34 minutes. Robert Covington finished with 20 points, five rebounds, two assists, two steals and a block, in 29 minutes. The Sixers shot 48 percent from the field, including 12 - of - 36 from long range. Meanwhile, Zach LaVine led the Bulls with 30 points on 11 - of - 20 shooting, six rebounds, three assists and one block, in 33 minutes of action. Bobby Portis followed up with 20 points, 10 rebounds, two assists and two steals, while Antonio Blakeney added 15 points, five rebounds and two assists. The Bulls shot 44 percent from the field, including 11 - of - 33 from long range. The Bulls (0 - 1) look to bounce back as they play host to the Pistons on Saturday. The Sixers (1 - 1) play host to the 76ers on Saturday."
2,4921,"The Philadelphia 76ers defeated the visiting Chicago Bulls, 127 - 108, at Wells Fargo Center on Thursday evening. Both teams came out strong in the first quarter but the Bulls held the advantage, leading 41 - 38, heading into the second. However, the Sixers bounced back in the second, where they outscored the Bulls, 27 - 17, to take a 65 - 58 lead heading into halftime. The Sixers came out in domination mode in the third and outscored the Bulls, 37 - 18, to take a 102 - 76 lead heading into the fourth. The Bulls put up a fight in the fourth but the 76ers were able to cruise to their first win of the season without a problem. Joel Embiid led the 76ers with 30 points on 9 - of - 14 shooting, in 33 minutes of action. Ben Simmons put up big numbers with 13 points, 13 rebounds, 11 assists, two blocks and one steal, in 34 minutes. Robert Covington finished with 20 points, five rebounds, two assists, two steals and a block, in 29 minutes. The Sixers shot 48 percent from the field, including 12 - of - 36 from long range. Meanwhile, Zach LaVine led the Bulls with 30 points on 11 - of - 20 shooting, six rebounds, three assists and one block, in 33 minutes of action. Bobby Portis followed up with 20 points, 10 rebounds, two assists and two steals, while Antonio Blakeney added 15 points, five rebounds and two assists. The Bulls shot 44 percent from the field, including 11 - of - 33 from long range. The Bulls (0 - 1) look to bounce back as they play host to the Pistons on Saturday. The Sixers (1 - 1) play host to the 76ers on Saturday."
3,4921,"The Philadelphia 76ers defeated the visiting Chicago Bulls, 127 - 108, at Wells Fargo Center on Thursday evening. Both teams came out strong in the first quarter but the Bulls held the advantage, leading 41 - 38, heading into the second. However, the Sixers bounced back in the second, where they outscored the Bulls, 27 - 17, to take a 65 - 58 lead heading into halftime. The Sixers came out in domination mode in the third and outscored the Bulls, 37 - 18, to take a 102 - 76 lead heading into the fourth. The Bulls put up a fight in the fourth but the 76ers were able to cruise to their first win of the season without a problem. Joel Embiid led the 76ers with 30 points on 9 - of - 14 shooting, in 33 minutes of action. Ben Simmons put up big numbers with 13 points, 13 rebounds, 11 assists, two blocks and one steal, in 34 minutes. Robert Covington finished with 20 points, five rebounds, two assists, two steals and a block, in 29 minutes. The Sixers shot 48 percent from the field, including 12 - of - 36 from long range. Meanwhile, Zach LaVine led the Bulls with 30 points on 11 - of - 20 shooting, six rebounds, three assists and one block, in 33 minutes of action. Bobby Portis followed up with 20 points, 10 rebounds, two assists and two steals, while Antonio Blakeney added 15 points, five rebounds and two assists. The Bulls shot 44 percent from the field, including 11 - of - 33 from long range. The Bulls (0 - 1) look to bounce back as they play host to the Pistons on Saturday. The Sixers (1 - 1) play host to the 76ers on Saturday."
4,4921,"The Philadelphia 76ers defeated the visiting Chicago Bulls, 127 - 108, at Wells Fargo Center on Thursday evening. Both teams came out strong in the first quarter but the Bulls held the advantage, leading 41 - 38, heading into the second. However, the Sixers bounced back in the second, where they outscored the Bulls, 27 - 17, to take a 65 - 58 lead heading into halftime. The Sixers came out in domination mode in the third and outscored the Bulls, 37 - 18, to take a 102 - 76 lead heading into the fourth. The Bulls put up a fight in the fourth but the 76ers were able to cruise to their first win of the season without a problem. Joel Embiid led the 76ers with 30 points on 9 - of - 14 shooting, in 33 minutes of action. Ben Simmons put up big numbers with 13 points, 13 rebounds, 11 assists, two blocks and one steal, in 34 minutes. Robert Covington finished with 20 points, five rebounds, two assists, two steals and a block, in 29 minutes. The Sixers shot 48 percent from the field, including 12 - of - 36 from long range. Meanwhile, Zach LaVine led the Bulls with 30 points on 11 - of - 20 shooting, six rebounds, three assists and one block, in 33 minutes of action. Bobby Portis followed up with 20 points, 10 rebounds, two assists and two steals, while Antonio Blakeney added 15 points, five rebounds and two assists. The Bulls shot 44 percent from the field, including 11 - of - 33 from long range. The Bulls (0 - 1) look to bounce back as they play host to the Pistons on Saturday. The Sixers (1 - 1) play host to the 76ers on Saturday."
5,4922,"The Philadelphia 76ers defeated the visiting Orlando Magic, 116 - 115, at Wells Fargo Center on Saturday evening. The Magic jumped out to a quick 90 lead and went ahead to push it to a 26 - 10 advantage with 4:55 left in the first. However, the Sixers battled back and cut the gap to just two points, trailing, 32 - 30, after one. The 76ers pulled ahead in the second carried the lead for most of the quarter, before taking a 63 - 52 lead into halftime. The tides turned again in the third quarter, as the Magic outscored the 76ers by eight, to cut the deficit to three points, heading into the final frame. The Sixers maintained their edge and pushed the lead back to 10, with five minutes to go in the game, but the Magic used an 18 - 9 run to make it a one - point game with 5 seconds left and possession. The Magic were not able to convert on the final play and dropped their second game in as many nights. On the other hand, the Sixers earned their second straight win. Joel Embiid led Philadelphia with 32 points, 10 rebounds and three assists, in 33 minutes. J.J. Redick came up huge in 32 minutes off the bench, with 31 points, four rebounds and four assists. Dario Saric finished with 13 points, nine rebounds, five assists, one block and one steal, while Robert Covington added 12 points, four rebounds, two steals, one block and one assist. The Sixers shot 48 percent from the field, including 17 - of - 34 from long range. Meanwhile, Evan Fournier was the high - point man for the Magic with 31 points, four rebounds, three assists and one steal, in 33 minutes. Nikola Vucevic had a big night with 27 points, 13 rebounds, 12 assists and two steals, in 37 minutes of action, while Aaron Gordon finished with 20 points, 12 rebounds three assists, three blocks and one steal. The Magic shot 46 percent from the field, including 16 - of - 29 from distance. The Magic (1 - 2) take on the Celtics in Boston on Monday, while the 76ers, head to Detroit to challenge the Pistons on Tuesday."
6,4922,"The Philadelphia 76ers defeated the visiting Orlando Magic, 116 - 115, at Wells Fargo Center on Saturday evening. The Magic jumped out to a quick 90 lead and went ahead to push it to a 26 - 10 advantage with 4:55 left in the first. However, the Sixers battled back and cut the gap to just two points, trailing, 32 - 30, after one. The 76ers pulled ahead in the second carried the lead for most of the quarter, before taking a 63 - 52 lead into halftime. The tides turned again in the third quarter, as the Magic outscored the 76ers by eight, to cut the deficit to three points, heading into the final frame. The Sixers maintained their edge and pushed the lead back to 10, with five minutes to go in the game, but the Magic used an 18 - 9 run to make it a one - point game with 5 seconds left and possession. The Magic were not able to convert on the final play and dropped their second game in as many nights. On the other hand, the Sixers earned their second straight win. Joel Embiid led Philadelphia with 32 points, 10 rebounds and three assists, in 33 minutes. J.J. Redick came up huge in 32 minutes off the bench, with 31 points, four rebounds and four assists. Dario Saric finished with 13 points, nine rebounds, five assists, one block and one steal, while Robert Covington added 12 points, four rebounds, two steals, one block and one assist. The Sixers shot 48 percent from the field, including 17 - of - 34 from long range. Meanwhile, Evan Fournier was the high - point man for the Magic with 31 points, four rebounds, three assists and one steal, in 33 minutes. Nikola Vucevic had a big night with 27 points, 13 rebounds, 12 assists and two steals, in 37 minutes of action, while Aaron Gordon finished with 20 points, 12 rebounds three assists, three blocks and one steal. The Magic shot 46 percent from the field, including 16 - of - 29 from distance. The Magic (1 - 2) take on the Celtics in Boston on Monday, while the 76ers, head to Detroit to challenge the Pistons on Tuesday."
7,4922,"The Philadelphia 76ers defeated the visiting Orlando Magic, 116 - 115, at Wells Fargo Center on Saturday evening. The Magic jumped out to a quick 90 lead and went ahead to push it to a 26 - 10 advantage with 4:55 left in the first. However, the Sixers battled back and cut the gap to just two points, trailing, 32 - 30, after one. The 76ers pulled ahead in the second carried the lead for most of the quarter, before taking a 63 - 52 lead into halftime. The tides turned again in the third quarter, as the Magic outscored the 76ers by eight, to cut the deficit to three points, heading into the final frame. The Sixers maintained their edge and pushed the lead back to 10, with five minutes to go in the game, but the Magic used an 18 - 9 run to make it a one - point game with 5 seconds left and possession. The Magic were not able to convert on the final play and dropped their second game in as many nights. On the other hand, the Sixers earned their second straight win. Joel Embiid led Philadelphia with 32 points, 10 rebounds and three assists, in 33 minutes. J.J. Redick came up huge in 32 minutes off the bench, with 31 points, four rebounds and four assists. Dario Saric finished with 13 points, nine rebounds, five assists, one block and one steal, while Robert Covington added 12 points, four rebounds, two steals, one block and one assist. The Sixers shot 48 percent from the field, including 17 - of - 34 from long range. Meanwhile, Evan Fournier was the high - point man for the Magic with 31 points, four rebounds, three assists and one steal, in 33 minutes. Nikola Vucevic had a big night with 27 points, 13 rebounds, 12 assists and two steals, in 37 minutes of action, while Aaron Gordon finished with 20 points, 12 rebounds three assists, three blocks and one steal. The Magic shot 46 percent from the field, including 16 - of - 29 from distance. The Magic (1 - 2) take on the Celtics in Boston on Monday, while the 76ers, head to Detroit to challenge the Pistons on Tuesday."
8,4922,"The Philadelphia 76ers defeated the visiting Orlando Magic, 116 - 115, at Wells Fargo Center on Saturday evening. The Magic jumped out to a quick 90 lead and went ahead to push it to a 26 - 10 advantage with 4:55 left in the first. However, the Sixers battled back and cut the gap to just two points, trailing, 32 - 30, after one. The 76ers pulled ahead in the second carried the lead for most of the quarter, before taking a 63 - 52 lead into halftime. The tides turned again in the third quarter, as the Magic outscored the 76ers by eight, to cut the deficit to three points, heading into the final frame. The Sixers maintained their edge and pushed the lead back to 10, with five minutes to go in the game, but the Magic used an 18 - 9 run to make it a one - point game with 5 seconds left and possession. The Magic were not able to convert on the final play and dropped their second game in as many nights. On the other hand, the Sixers earned their second straight win. Joel Embiid led Philadelphia with 32 points, 10 rebounds and three assists, in 33 minutes. J.J. Redick came up huge in 32 minutes off the bench, with 31 points, four rebounds and four assists. Dario Saric finished with 13 points, nine rebounds, five assists, one block and one steal, while Robert Covington added 12 points, four rebounds, two steals, one block and one assist. The Sixers shot 48 percent from the field, including 17 - of - 34 from long range. Meanwhile, Evan Fournier was the high - point man for the Magic with 31 points, four rebounds, three assists and one steal, in 33 minutes. Nikola Vucevic had a big night with 27 points, 13 rebounds, 12 assists and two steals, in 37 minutes of action, while Aaron Gordon finished with 20 points, 12 rebounds three assists, three blocks and one steal. The Magic shot 46 percent from the field, including 16 - of - 29 from distance. The Magic (1 - 2) take on the Celtics in Boston on Monday, while the 76ers, head to Detroit to challenge the Pistons on Tuesday."
9,4922,"The Philadelphia 76ers defeated the visiting Orlando Magic, 116 - 115, at Wells Fargo Center on Saturday evening. The Magic jumped out to a quick 90 lead and went ahead to push it to a 26 - 10 advantage with 4:55 left in the first. However, the Sixers battled back and cut the gap to just two points, trailing, 32 - 30, after one. The 76ers pulled ahead in the second carried the lead for most of the quarter, before taking a 63 - 52 lead into halftime. The tides turned again in the third quarter, as the Magic outscored the 76ers by eight, to cut the deficit to three points, heading into the final frame. The Sixers maintained their edge and pushed the lead back to 10, with five minutes to go in the game, but the Magic used an 18 - 9 run to make it a one - point game with 5 seconds left and possession. The Magic were not able to convert on the final play and dropped their second game in as many nights. On the other hand, the Sixers earned their second straight win. Joel Embiid led Philadelphia with 32 points, 10 rebounds and three assists, in 33 minutes. J.J. Redick came up huge in 32 minutes off the bench, with 31 points, four rebounds and four assists. Dario Saric finished with 13 points, nine rebounds, five assists, one block and one steal, while Robert Covington added 12 points, four rebounds, two steals, one block and one assist. The Sixers shot 48 percent from the field, including 17 - of - 34 from long range. Meanwhile, Evan Fournier was the high - point man for the Magic with 31 points, four rebounds, three assists and one steal, in 33 minutes. Nikola Vucevic had a big night with 27 points, 13 rebounds, 12 assists and two steals, in 37 minutes of action, while Aaron Gordon finished with 20 points, 12 rebounds three assists, three blocks and one steal. The Magic shot 46 percent from the field, including 16 - of - 29 from distance. The Magic (1 - 2) take on the Celtics in Boston on Monday, while the 76ers, head to Detroit to challenge the Pistons on Tuesday."
